집,jip,house,나는 집에 도착했어.,I arrived at my house.
나라,nara,country,나는 우리 나라를 지켜야 해.,I need to protect my country.
직업,jigob,job,나는 살기 위해 직업이 필요해.,I need a job to live.
사람,salam,person,나는 좋아하는 사람이 있다.,I have a person I like.
밤,bam,night,나는 밤에 잔다.,I sleep at night.
아침,ahchim,morning,나는 아침에 과일을 먹는다.,I eat fruit in the morning.
물,mul,water,너는 물을 많이 마셔야해.,You need to drink a lot of water.
밥,bab,rice,나는 저녁으로 밥을 먹었다.,I ate rice for dinner.
고기,gogi,meat,나는 오늘밤 고기 요리했어.,I cooked some meat tonight.
친구,chingu,friend,나는 오늘 새로운 친구를 사귀었어.,I made a new friend today.
가족,gajok,family,우리 가족은 네 식구이다.,I have four people in my family.
아빠,ahbba,father,나의 아빠는 맛있는 요리를 하신다.,My father cooks delicious meals.
엄마,uhmma,mother,나의 엄마는 우리 가족을 위해 열심히 일하신다.,My mother works hard for our family.
시간,shigan,time,나는 늦게 일어나서 먹을 시간이 없다.,I woke up late so I have no time to eat.
오늘,o-neul,today,오늘 날씨 좋다,The weather today is good.
어제,uhje,yesterday,어제 술 마신것 후회한다.,I regret drinking alcohol yesterday.
내일,ne-il,tomorrow,내일 나는 저녁 약속있어.,I have dinner plans tomorrow.
가다,gada,to go,내일 나 학교 가야해.,I have to go to school
먹다,mukda,to eat,내 강아지 저녁 먹어야 해.,My dog needs to eat dinner
보다,boda,to see,나는 저녁 노을을 보기 원해.,I want to see the sunset.
울다,ulda,to cry,내가 시험을 잘 못 봐서 울었어.,My test didn't go well so I cried.
아주,ahju,very,이 식당이 아주 좋다.,This restaurant is very nice.
빨리,bbal-li,quickly,나는 늦어서 빨리 가야한다.,I'm late so I need to go quickly.
하늘,haneul,sky,하늘이 파랗다.,The sky is blue.
비,bi,rain,비가 올때 나는 우울해진다.,When it's raining I get depressed.
마음,ma-eum,soul,그녀는 마음이 착하다.,She has a kind soul
정,jung,affection,나는 나의 가족에게 정이 많다.,I have a lot of affection for my family.
바다,bada,sea,오늘은 바다가 조용하다.,The ocean is calm today.
바람,balam,wind,나는 바람때문에 모자를 잃어버렸다.,I lost my hat because of the wind.
절대,jeoldae,never,나는 절대 그렇게 안한다.,I would never do that.
가끔,ga-ggeum,sometimes,나는 가끔 넘어진다.,Sometimes I fall.
새,se,bird,우리 마당에 새가 많다.,There are a lot of birds in our yard.
생선,sengsan,fish,나는 생선 먹는 것을 싫어한다.,I don't like to eat fish.
우리,wooli,our,우리 할머니는 두부를 좋아하신다.,Our grandma likes tofu.
주,ju,week,한 달에 4주 정도 있다.,There are about four weeks in a month.
년,nyeon,year,일년에 365일 있다.,There are 365 days in a year.
조금,jogeum,small,나는 부탁할 것이 조금 있어.,I have a small favor to ask.
멀리,meolli,far,나는 그렇게 멀리 못 봐.,I cannot see that far.
좋은,jo-eun,good,그것은 좋은 방법이다.,That was a good idea.
쉬운,swi-un,easy,그 시험은 쉬운 시험이었다.,The test was easy.
나쁜,nappeun,bad,나쁜 날씨에 운전 조심해.,Drive safely in bad weather.
안녕,annyeong,hello,안녕! 잘 지내?,Hello! How are you?
차,cha,tea,차 마실래요?,Would you like some tea?
발,bal,foot,나는 많이 걸어서 발이 아프다.,I walked a lot so my foot hurts.
다리,dal-li,leg,나는 다리가 길어서 빨리 뛴다.,I have long legs so I run fast.
